Date,BOVESPA,DJIA,NIKKEI,STOXX,Oil,Gold,Copper,EURUSD,10YR,LIBOR,Soy,VIX
3/5/03,10263,8033.799805,#N/A,2225.44,33.26,1241.75,0.7785,0.959877136,4.05,2.65013,5.67,30.43
3/6/03,10311,8002.700195,8713.33,2169.88,32.29,1248.5,0.795,0.95520107,4.09,2.59813,5.61,31.83
3/7/03,10608,7915.52002,8656.5,2133.6,31.2,1271.5,0.788,0.959785008,4.04,2.56275,5.62,30.38
3/10/03,10695,8017.339844,8517.8,2125.75,30.66,1272.25,0.775,0.957212597,4,2.53125,5.65,31.37
3/11/03,10314,7856.419922,8497.93,2190.28,31.95,1283.5,0.7875,0.955383587,4.19,2.6495,5.71,31.08
3/12/03,10343,7907.390137,8470.45,2136.6,31.59,1281.75,0.777,0.949216896,4.16,2.66575,5.65,33.31
3/13/03,10606,7807.959961,#N/A,2123.71,32.08,1283.25,0.7605,0.949216896,4.15,2.64375,5.74,33.61
3/14/03,10792,7886.109863,8553.06,2199.97,32.42,1276,0.7515,0.945984297,4.1,2.6375,5.74,33.51
3/17/03,10783,7890.240234,8611.75,2240.3,33.23,1281,0.7665,0.945537065,4.1,2.634,5.68,31.76
3/18/03,10891,7838.140137,8609.17,2280.82,33.58,1283.75,0.7525,0.946163308,4.1,2.63225,5.73,30.98
3/19/03,11143,7702.350098,8690.25,2208.18,33.88,1309,0.7615,0.938086304,4.05,2.62538,5.7,31.75
3/20/03,10993,7774.759766,8558.82,2173.77,#N/A,1316,0.753,#N/A,#N/A,2.63013,5.74,30.43
3/21/03,11176,7671.75,8708.58,2208.25,34.62,1317,0.7485,0.936592676,4.01,2.59388,5.76,31.54
3/24/03,11362,7739.399902,8611.04,2160.58,34.32,1311.25,0.7505,0.932053313,3.95,2.58344,5.69,30.44
3/25/03,11047,7568.529785,8790.92,2081.3,33.9,1314.25,0.768,0.928763815,3.98,2.57025,5.73,28.67
3/26/03,11248,7517.759766,8731.65,2058.97,34.98,1314.75,0.7605,0.923787529,3.94,2.56575,5.68,30.39
3/27/03,11204,7555.290039,8609.47,2104.41,32.43,1333.75,0.7735,0.922679461,3.98,2.56188,5.79,28.75
3/28/03,11273,7822.169922,8525.39,2140.73,32.7,1349.5,0.765,0.923105326,4,2.56125,5.79,28.23
3/31/03,11387,7857.959961,8331.08,2142.39,33.54,1346.75,0.7755,0.920725532,4.06,2.5765,5.74,27.96
4/1/03,11283,8142.689941,8316.81,2093.04,33.78,1351,0.7655,0.927988122,4,2.57238,5.73,27.75
4/2/03,11615,8193.040039,8339.94,2080.6,33.51,1341.75,0.7675,0.931185399,4,2.5715,5.85,29.15
4/3/03,11877,8264.679688,8500.79,2043.35,32.84,1336.25,0.749,0.929281665,4.01,2.56663,5.84,28.36
4/4/03,12014,8290.379883,8484.9,1992.45,33.61,1333,0.729,0.91954023,3.96,2.55138,5.89,28.02
4/7/03,12154,8514.820312,8549.85,1936.39,33.91,1311.75,0.7255,0.922339052,4.02,2.54625,5.97,28.21
4/8/03,12124,8216.849609,8484.19,1934.34,34.36,1316,0.7125,0.923531585,3.97,2.5745,5.99,29.13
4/9/03,11784,8279.879883,8448.16,1849.64,35.05,1317,0.7225,0.9258402,3.96,2.58038,6.02,28.45
4/10/03,11784,8226.389648,8484.93,1974.93,34.46,1308.5,0.717,0.931098696,3.99,2.57563,5.99,27.13
4/11/03,11614,8198.849609,#N/A,2079.71,35.43,1278.25,0.709,0.93049223,3.98,2.5705,5.98,27.11
4/14/03,11726,8142.830078,8664.17,2158,35.83,1255.5,0.716,0.933184024,3.93,2.57163,6.06,25.6
4/15/03,11865,7992.830078,8599.66,2153.86,36.63,1276,0.727,0.923020122,3.89,2.57863,6.09,24.44
4/16/03,12120,8069.859863,8701.92,2187.16,36.61,1285.75,0.7205,0.926011668,3.95,2.58713,6.07,23.41
4/17/03,12052,8285.759766,8771.89,2156.89,#N/A,1298,0.7175,#N/A,#N/A,2.58738,6.2,22.56
4/22/03,12393,8240.589844,8692.97,2249.11,36.88,1309.5,0.7135,0.93388121,3.94,2.58775,6.14,22.52
4/23/03,12455,8284.150391,8678.44,2124.78,37.02,1321,0.7245,0.930752048,3.88,2.59,6.07,21.5
4/24/03,12370,8299.120117,8650.92,2184.98,36.45,1311,0.7235,0.924129008,3.85,2.59,6,#N/A
4/25/03,12124,8299.280273,8513.54,2172.64,36.76,1316,0.733,0.92704181,3.9,2.58663,6,21.95
4/28/03,12128,8198.990234,8564.95,2132.5,37.29,1309,0.733,0.9273857,3.86,2.58163,5.96,20.7
4/29/03,12470,8223.219727,8360.49,2132.11,36.06,1293.75,0.736,0.927471712,3.81,2.57638,6.03,20.8
4/30/03,12713,8203.969727,8356.81,2036.86,37.96,1332.25,0.7275,0.926183199,3.78,2.57688,6.19,20.33
5/2/03,12565,8347.660156,8359.38,2067.23,36.83,1335.75,0.721,0.929108984,3.76,2.57438,6.23,20.8
5/5/03,12829,8405.719727,8363.04,2160.23,36.76,1321.5,0.7225,0.927729845,3.71,2.57925,6.28,20.84
5/6/03,12829,8255.790039,8490.4,2182.97,36.1,1332.5,0.7145,0.922934933,3.68,2.57375,6.27,20.76
5/7/03,12669,8336.669922,8480.22,2223.17,36.95,1320.25,0.7145,0.918864284,3.65,2.5715,6.24,21.21
5/8/03,12969,8326.379883,8472.62,2314.54,36.86,1316.5,0.7155,0.911826388,3.63,2.57125,6.26,21.59
5/9/03,12950,8484.919922,8369.15,2282.24,37.21,1321.75,0.7235,0.909338911,3.67,2.57,6.23,20.63
5/12/03,13206,8512.44043,8144.12,2279.52,37.76,1355.25,0.725,0.907935355,3.63,2.55438,6.2,21.13
5/13/03,13322,8438.980469,8042.26,2222.4,37.18,1363.5,0.7245,0.903995661,3.59,2.54819,6.32,20.8
5/14/03,13428,8306.839844,7862.43,2247.47,36.81,1299.75,0.715,0.906782735,3.6,2.57588,6.37,21
5/15/03,13465,8472.879883,7943.04,2273.96,37.87,1317.25,0.7135,0.907194049,3.6,2.5725,6.38,21.24
5/16/03,13143,8501.379883,7868.56,2317.72,36.05,1314.75,0.719,0.919963201,3.74,2.57975,6.44,19.69
5/19/03,13179,8478.480469,8002.69,2294.95,35.41,1308.25,0.7305,0.932400932,3.72,2.5835,6.44,19.52
5/20/03,12753,8453.480469,7871.64,2324.27,34.92,1340.25,0.736,0.942862531,3.82,2.583,6.37,19.91
5/21/03,12749,8583.169922,7954.46,2343.59,31.55,1365.25,0.734,0.94126506,3.91,2.57988,6.32,20
5/22/03,13031,8531.280273,8051.04,2365.97,30.01,1373,0.7475,0.944287063,3.98,2.54438,6.32,19.24
5/23/03,13101,8585.419922,8195.05,2310.87,28.62,1386,0.76,0.942240648,4.01,2.5295,6.34,18.4
5/26/03,13149,8558.669922,#N/A,2271.92,27.18,1368.25,0.7565,0.948316738,4.11,2.52763,6.21,20.51
5/27/03,12861,8492.69043,8435.07,2344.02,29.51,1391.75,0.757,0.93949643,3.98,2.5,6.2,21.29
5/28/03,13257,8603.900391,8238.76,2322.27,33.42,1403.75,0.7575,0.93694369,3.97,2.4725,6.2,21.21
5/29/03,13303,8722.879883,8351.92,2324.24,28.71,1391.25,0.7605,0.936592676,3.96,2.44375,6.18,19.78
5/30/03,13413,8673.290039,8368.67,2324.24,30.31,1391.25,0.76,0.93388121,3.95,2.4225,6.24,19.17
6/2/03,13441,8649.219727,8280.16,2321.91,30.21,1392.75,0.7675,0.929195317,3.92,2.41438,6.22,#N/A
6/3/03,13231,8710.360352,7972.71,2351.65,31.14,1406.25,0.7645,0.917431193,3.83,2.40125,6.14,19.99
6/4/03,13386,8676.519531,7986.72,2389.7,29.48,1425.5,0.764,0.917094644,3.84,2.39,6.11,20.03
6/5/03,13690,8494.089844,8069.85,2357.14,28.55,1411,0.775,0.928936368,3.94,2.35088,6.16,20.43
6/6/03,13794,8485.620117,8017.75,2287.25,29.05,1374.5,0.767,0.931445604,3.93,2.305,6.2,19.47
6/9/03,13926,8516.990234,8074.12,2314.1,28.41,1370.5,0.77,0.933619643,3.96,2.20388,6.31,20.85
6/10/03,13869,8594.019531,8249.98,2318,27.76,1360,0.78,0.941530929,4.03,2.181,6.24,20.84
6/11/03,13898,8600.540039,8131.41,2312.9,27.97,1365.75,0.7875,0.935979034,3.95,2.15163,6.33,20.62
6/12/03,13901,8781.839844,8057.61,2309.93,28.93,1375.25,0.7815,0.932661817,3.93,2.14625,6.28,20.83
6/13/03,13980,8787.230469,7980.12,2344.01,27.2,1360.75,0.778,0.925668796,3.95,2.1475,6.24,21.25
6/16/03,13737,8711.459961,7816.49,2349.13,28.28,1339.5,0.78,0.930146033,4,2.14975,6.13,22.15
6/17/03,13843,8851.450195,7752.1,2248.03,28.41,1323.25,0.7805,0.928246542,4.04,2.15325,6.16,20.64
6/18/03,13790,8898.230469,7838.83,2249.06,29.46,1334,0.768,0.9258402,3.98,2.15175,6.22,20.21
6/20/03,13514,8919.94043,7879.49,2229.43,29.16,1325.75,0.765,0.919793966,3.96,2.15,6.29,20.41
6/23/03,13132,9036.669922,7821.9,2261.98,30.1,1305.5,0.7655,0.916842395,3.98,2.15675,6.3,20.66
6/24/03,12993,9045.570312,7874.51,2246.58,#N/A,1287.75,0.7735,0.918948723,#N/A,2.16,6.26,20.22
6/25/03,13110,9061.179688,7969.08,2242.16,30.76,1275.5,0.76,0.921064751,4,2.16013,6.23,20.01
6/26/03,13031,8980.790039,7790.46,2259.35,29.92,1292,0.7595,0.911909539,4.01,2.16038,6.33,19.76
6/27/03,13112,9048.849609,7793.38,2309.33,28.04,1311,0.7795,0.913325418,4.02,2.16,6.4,19.8
6/30/03,13027,9184.290039,7854.57,2310.83,27.52,1285.75,0.7765,0.905879156,3.93,2.16013,6.23,19.14
7/1/03,12967,9197.879883,7699.5,2330.06,25.92,1323.75,0.7805,0.905797101,3.91,2.152,6.3,20.58
7/2/03,13292,9117.55957,7607.88,2379.39,25.25,1331.5,0.773,0.909173561,3.92,2.16,6.31,20.75
7/3/03,13308,9319.660156,#N/A,2366.31,25.32,1322.25,0.766,0.908265213,3.96,2.156,6.28,20.81
7/4/03,13135,9322.669922,7831.42,2394.79,26.09,1330.75,0.767,0.894454383,3.89,2.1545,6.23,19.4
7/7/03,13274,9293.799805,7863.29,2365.76,26.05,1327.75,0.7575,0.889838049,3.88,2.15063,6.12,19.16
7/8/03,13401,9180.929688,7907.19,2421.92,25.74,1312,0.751,0.892857143,3.94,2.14675,6.14,19.52
7/10/03,13622,9199.490234,#N/A,2388.55,26.43,1340,0.7565,0.887232721,3.92,2.14525,6.11,19.46
7/11/03,13498,9071.480469,8083.56,2410.55,25.65,1326.75,0.748,0.880746873,3.84,2.14088,6.09,19.03
7/14/03,13322,9109.570312,8109.77,2452.4,26.24,1313.75,0.746,0.881834215,3.72,2.14263,6.07,19.39
7/15/03,13593,9011.05957,8031.55,2479.92,26.94,1286,0.7565,0.873133677,3.7,2.13825,5.96,#N/A
7/16/03,13613,9079.740234,8152.16,2440.32,27.65,1279.75,0.7465,0.869716472,3.69,2.13366,5.94,20.06
7/17/03,13487,8990.740234,8221.12,2492.28,27.34,1284.25,0.7665,0.865276456,3.64,2.13213,5.87,19.48
7/18/03,13622,8983.660156,8190.26,2505.99,28.51,1286,0.765,0.869640838,3.63,2.13063,5.74,18.93
7/21/03,13794,9043.540039,8244.91,2527.44,29.21,1281.25,0.777,0.869716472,3.53,2.13013,5.72,19.19
7/22/03,13676,9141.160156,8123.4,2491.99,28.57,1275,0.7775,0.872828838,3.53,2.13013,5.73,18.47
7/23/03,13852,9073.919922,8117.29,2515.33,29.07,1280.75,0.776,0.86640097,3.46,2.13013,5.7,19.59
7/24/03,13799,9213.480469,8039.13,2450.57,28.84,1252.25,0.794,0.855724799,3.46,2.13,5.59,19.55
7/25/03,13761,9221.900391,8059.48,2446.78,29.29,1252,0.79,0.855798032,3.38,2.12725,5.63,19.76
7/28/03,13752,9154.530273,8018.51,2453.73,29.51,1225.5,0.789,0.854189801,3.39,2.1205,5.65,20.22
7/29/03,13652,9036.389648,8051.66,2452.86,29.09,1232.75,0.778,0.854700855,3.34,2.12113,5.52,19.11
7/30/03,13623,9126.450195,8184.76,2453.49,29.74,1249.5,0.783,0.84846428,3.34,2.11875,5.49,19.78
7/31/03,13475,9179.179688,8227.32,2419.51,#N/A,1246,0.773,#N/A,#N/A,2.11525,5.39,19.17
8/1/03,13579,9133.700195,8120.24,2366.86,29.24,1260.75,0.769,0.84366827,3.41,2.11475,5.48,18.64
8/4/03,13128,9089.339844,8234.18,2420.35,28.46,1243.5,0.7755,0.851643672,3.44,2.11588,5.41,18.6
8/5/03,12940,9052.290039,8375.36,2421.64,29.15,1203.25,0.79,0.844951415,3.34,2.11413,5.45,17.75
8/6/03,13060,9187.799805,8424.51,2408.18,29.56,1232,0.7945,0.84990651,3.37,2.11413,5.46,18.36
8/7/03,12892,9098.650391,8547.17,2486.01,30.72,1229,0.8045,0.851498638,3.43,2.11413,5.51,18.67
8/8/03,13333,9159.080078,8564.49,2492.73,30.78,1285,0.803,0.854554777,3.34,2.12125,5.52,18.85
8/11/03,13500,9196.55957,8557.86,2473.62,29.81,1283.25,0.7995,0.854116843,3.3,2.12163,5.63,19.49
8/12/03,13559,9113.849609,8657.23,2441.9,30.84,1290.25,0.818,0.842459983,3.34,2.1175,5.59,20.75
8/13/03,13597,9284.919922,8785.87,2477.72,31.26,1303.25,0.816,0.855066268,3.37,2.113,5.64,21.27
8/14/03,13683,9268.19043,8822.73,2517.88,31.36,1366,0.8075,0.851571149,3.29,2.11888,5.65,22.68
8/15/03,13810,9204.389648,8789.09,2503.36,31.72,1378.5,0.8065,0.855724799,3.2,2.11613,5.91,21.5
8/18/03,13900,9199.349609,8890.3,2487.99,32.17,1386,0.8025,0.850051003,3.21,2.118,5.8,20.26
8/19/03,14147,9232.679688,8918.6,2449.73,31.41,1379.75,0.813,0.849834282,3.18,2.11925,5.87,19.59
8/20/03,14158,9154.179688,8980.64,2458.92,30.63,1386.25,0.7995,0.845308538,3.13,2.11538,5.89,19.75
8/21/03,14470,9185.269531,8839.83,2419.81,31.14,1377.25,0.8045,0.844380647,3.18,2.1185,5.96,17.94
8/22/03,14670,9032.959961,9033,2436.88,31.08,1369.5,0.7875,0.846596681,3.27,2.11663,5.97,18.77
8/25/03,14613,9060.480469,9092.97,2429.07,30.28,1376.75,0.791,0.853970965,3.37,2.11325,5.92,18.47
8/26/03,14475,9127.360352,9110.51,2480.87,29.86,1410,0.797,0.856311012,3.35,2.11375,5.96,18.27
8/27/03,14876,9189.620117,9120.39,2442.13,30.63,1399.5,0.79,0.860881543,3.4,2.118,6.05,18.18
8/28/03,15151,9218.120117,9137.14,2486.76,30.22,1396.5,0.7945,0.865950814,3.32,2.12225,6.06,17.86
8/29/03,15065,9303.69043,8919.26,2470.41,30.05,1405.25,0.801,0.869716472,3.29,2.12525,5.92,17.82
9/1/03,15174,9272.25,8932.26,2483.9,31.65,1396.75,0.804,0.862663906,3.38,2.1225,5.98,17.84
9/2/03,15352,9308.519531,8923.41,2519.79,28.97,1410.25,0.8015,0.874967189,3.55,2.12925,6.05,18.55
9/3/03,15455,9320.660156,9104.06,2479.7,29.18,1406.25,0.802,0.875426771,3.58,2.13025,6.04,19.53
9/4/03,15635,9412.169922,9083.11,2456.28,30.15,1384.5,0.804,0.869414015,3.54,2.13038,6.09,19.49
9/5/03,15707,9420.129883,9278.49,2481.77,30.41,1379,0.7935,0.863557858,3.56,2.13038,6.2,19.13
9/8/03,15904,9399.959961,9592.24,2437.38,30.29,1385.25,0.7935,0.867754252,3.56,2.13025,6.07,18.48
9/9/03,16051,9436.040039,9624.8,2436.06,30.39,1386,0.787,0.869338433,3.67,2.13025,6.18,18.63
9/10/03,15716,9349.44043,9547.73,2460.14,#N/A,1385.25,0.803,#N/A,#N/A,2.13725,6.18,#N/A
9/11/03,15985,9316.030273,9795.16,2479.06,30.08,1378.75,0.8095,0.881756459,3.74,2.1355,6.11,19.02
9/12/03,16283,9339.820312,9898.72,2496.58,30.32,1353.75,0.8245,0.887705282,3.75,2.13413,6.02,19.44
9/15/03,16423,9334.349609,9990.95,2497.74,30.87,1376.75,0.8135,0.884095129,3.73,2.13388,6.09,18.71
9/16/03,16354,9373.330078,9955.62,2544.05,31.04,1377,0.827,0.877963126,3.7,2.13075,6.13,18.17
9/17/03,16280,9416.669922,9635.35,2548.86,31.33,1412.25,0.824,0.884642604,3.66,2.13075,6.24,18.26
9/18/03,16492,9521.860352,9755.63,2574,31.2,1436.5,0.8135,0.885112409,3.74,2.13,6.36,18.85
9/19/03,16890,9569.089844,9751,2579.19,31.6,1429.75,0.8035,0.890234132,3.94,2.12463,6.36,20.01
9/22/03,16850,9589.519531,9735.97,2562.65,31.2,1449.25,0.8225,0.892140244,3.97,2.12825,6.37,19.25
9/23/03,16488,9503.410156,9498.86,2583.91,31.44,1469.5,0.81,0.895736295,3.98,2.1285,6.4,18.68
9/24/03,16446,9584.919922,9527.73,2593.55,31.96,1454,0.8155,0.889758875,4,2.12625,6.41,19.28
9/25/03,16058,9504.879883,#N/A,2565.03,31.67,1463,0.8105,0.881367883,4.19,2.12175,6.64,18.03
9/26/03,15807,9415.049805,9485.97,2537.14,30.2,1476.5,0.819,0.883002208,4.17,2.12,6.6,18.15
9/29/03,15810,9456.879883,9615.34,2560.76,30.13,1456,0.823,0.870776733,4.12,2.12,6.7,17.57
9/30/03,16109,9471.19043,9671,2575.99,30.72,1469.5,0.825,0.874049471,4.2,2.11863,6.8,17.54
10/1/03,16010,9449.160156,9648.01,2556.71,30.31,1472.75,0.826,0.868583341,4.22,2.118,6.61,19.65
10/2/03,16582,9566.080078,9839.91,2600.9,29.98,1472.5,0.82,0.86979212,4.31,2.11288,6.67,19.47
10/3/03,16898,9544.040039,9834.31,2599.8,30.21,1462.25,0.8235,0.872143729,4.42,2.113,6.71,21.22
10/6/03,17090,9661.799805,9632.66,2641.55,30.69,1446.5,0.8275,0.879739597,4.34,2.11175,6.63,22.26
10/7/03,17278,9641.799805,9563.21,2638.8,30.56,1424.5,0.8165,0.890392663,4.49,2.11013,6.77,22.23
10/8/03,17474,9535.759766,9611.67,2614.81,32.23,1417.25,0.819,0.888730892,4.44,2.10038,6.98,21.67
10/9/03,17805,9575.969727,9452.79,2635.59,31.8,1425,0.813,0.882067566,4.35,2.1,7.18,22.72
10/10/03,17699,9425.580078,9382.58,2604.08,32.34,1414,0.8185,0.881134902,4.47,2.101,7.28,21.07
10/13/03,17676,9342.429688,9323.91,2565.52,31.77,1397,0.8295,0.88051422,4.32,2.10875,7.16,20.8
10/14/03,18063,9314.419922,9265.56,2572.74,32.41,1379,0.834,0.877963126,4.3,2.10163,7.14,19.5
10/15/03,18176,9378.099609,9327.53,2546.78,32.23,1378,0.8345,0.883314195,4.27,2.10413,7.18,19.51
10/16/03,17944,9276.799805,9487.8,2555.64,31.91,1416,0.844,0.881134902,4.38,2.10338,7.18,19.41
10/17/03,17923,9464.759766,9564.81,2585.28,31.91,1548,0.8515,0.884642604,4.37,2.10275,7.21,19.18
10/20/03,17791,9492.540039,9752.75,2586.81,30.85,1555.75,0.8505,0.883626403,4.58,2.10288,7.4,18.82
10/21/03,18370,9572.389648,9913.47,2608.58,30.85,1581.5,0.8605,0.888967908,4.55,2.10288,7.54,18.45
10/22/03,18449,9593.280273,9863.47,2582.47,31.01,1572.5,0.8845,0.888494003,4.55,2.10163,7.53,17.55
10/23/03,18235,9653.330078,10032.97,2514.11,30.81,1577.25,0.871,0.897827258,4.49,2.10163,7.49,17.37
10/24/03,17687,9633.349609,10174.1,2493.03,30.76,1552.75,0.8955,0.899523253,4.38,2.10038,7.72,17.69
10/27/03,17820,9682.900391,10292.06,2477.34,30.96,1545.25,0.8915,0.900576369,4.45,2.09738,7.91,17.19
10/28/03,17750,9675.719727,10362.69,2465.13,31.78,1568.5,0.892,0.911078717,4.53,2.09713,7.85,17.62
10/29/03,18228,9763.269531,10281.17,2447.92,31.64,1597.75,0.9085,0.919878576,4.48,2.0985,7.84,17.04
10/30/03,17945,9824.089844,10276.64,2440.12,31.43,1602.5,0.903,0.918105031,4.53,2.095,7.83,16.55
10/31/03,18095,9798.679688,10332.57,2395.87,32.01,1591,0.9105,0.918020747,4.5,2.0985,7.49,17.67
11/3/03,17983,9791.860352,10308.99,2439.25,31.18,1597.25,0.9035,0.916926462,4.54,2.09988,7.58,17.68
11/4/03,18519,9721.5,10225.22,2434.63,31.41,1602.25,0.8905,0.917767988,4.42,2.09375,7.5,17.71
11/5/03,18545,9778.30957,10343.55,2516.48,31.76,1611.5,0.905,0.910249408,4.45,2.09563,7.34,18.05
11/6/03,18307,9741.980469,10670.18,2497.1,#N/A,1608.75,0.9015,#N/A,#N/A,2.09563,7.47,16.82
11/7/03,18614,9597.200195,10690.08,2476.61,29.57,1611.5,0.916,0.919793966,4.61,2.09563,7.61,16.43
11/10/03,18672,9600.980469,10715.69,2473.88,29.43,1602.5,0.931,0.92208391,4.6,2.09363,7.55,16.33
11/11/03,18572,9584.540039,10646.95,2531.38,28.87,1599.5,0.937,0.917515368,4.52,2.09275,7.61,16.1
11/12/03,18409,9609.719727,10650.77,2518.44,28.93,1593.25,0.931,0.903097625,4.35,2.09163,7.64,16.55
11/13/03,18795,9747.049805,10683.76,2563.4,28.85,1585,0.956,0.89895721,4.41,2.09225,7.65,16.55
11/14/03,18763,9772.009766,10922.04,2552.38,29.22,1591.5,0.955,0.893655049,4.37,2.0915,7.62,16.86
11/17/03,18985,9786.75,10856.32,2571.41,29.41,1582.5,0.9385,0.893255918,4.28,2.09038,7.34,16.74
11/18/03,18669,9802.459961,10546.33,2557.8,28.86,1577.5,0.943,0.893974611,4.35,2.089,7.44,16.93
11/19/03,18819,9857.490234,10712.81,2550.82,28.26,1577,0.927,0.884407889,4.27,2.08525,7.39,17.62
11/20/03,18815,9837.639648,#N/A,2552.18,28.15,1580.5,0.944,0.884642604,4.28,2.07238,7.23,17.54
11/21/03,19197,9820.679688,10887.03,2560.14,27.6,1574,0.9475,0.895575855,4.29,2.06413,7.31,16.75
11/24/03,19258,9857.120117,10990.11,2509.97,27,1584.25,0.9425,0.889758875,4.2,2.06513,7.32,16.47
11/25/03,19694,9807.490234,11033.32,2489.07,27.26,1578,0.9515,0.889679715,4.19,2.06375,7.42,16.94
11/26/03,19810,9756.530273,10938.42,2482.56,26.93,1570,0.919,0.881367883,4.17,2.06,7.47,18.6
11/27/03,19695,9729.5,10475.1,2512.32,26.97,1591,0.933,0.871991629,4.26,2.0675,7.61,19.11
